Model,Year Range,Engine Type,Buy Price (€),Market Price (€),Absolute Profit (€),Capital Required (€),Regular Listings,Market Listings
Peugeot 208 (Diésel),2012/2019,Diésel,"4,800","8,270","3,470","4,800",10,20
Volkswagen Polo (Diésel),2010/2017,Diésel,"4,590","8,018","3,428","4,590",10,13
Opel Corsa,2006/2014,Gasolina/Diésel,"2,300","5,571","3,271","2,300",10,11
BMW 3 Series,2012/2018,Gasolina/Diésel,"19,900","23,034","3,134","19,900",5,5
Toyota Corolla (Diésel),2006/2013,Diésel,"4,500","6,913","2,413","4,500",10,10
Toyota Corolla (Gasolina),2006/2013,Gasolina,"3,900","6,168","2,268","3,900",10,10
Audi A4 Allroad,2012/2016,Gasolina/Diésel,"17,900","19,843","1,943","17,900",10,10
Mitsubishi ASX,2015/2019,Diésel,"12,000","13,789","1,789","12,000",10,10
Hyundai i20 (Diésel),2015/2018,Diésel,"8,990","9,504",514,"8,990",8,11
Jaguar XE,2015/2019,Gasolina/Diésel,"13,890","14,154",264,"13,890",10,13
Ford Focus Mk3 (Gasolina),2011/2018,Gasolina,"5,400","5,400",0,"5,400",1,1
Chevrolet Spark,2012/2018,Gasolina,"4,850","4,850",0,"4,850",1,1
Opel Astra J,2010/2015,Gasolina/Diésel,"5,900","5,579",-321,"5,900",3,5
